"image","xmin","ymin","xmax","ymax","label"
"new10.png",149.42857142857142,98.28571428571428,171.7142857142857,117.14285714285714,"depth"
"new10.png",201.42857142857142,56,210.57142857142856,66.28571428571428,"flat"
"new10.png",392.2857142857143,54.285714285714285,412.85714285714283,73.14285714285714,"sunk"
"new10.png",340.85714285714283,152.57142857142856,360.2857142857143,167.99999999999997,"flat"
"new10.png",380.2857142857143,225.14285714285714,413.42857142857144,262.2857142857143,"depth"
"new10.png",386,336.57142857142856,406.57142857142856,364.57142857142856,"flat"
"new10.png",244.28571428571428,334.85714285714283,271.7142857142857,361.1428571428571,"depth"
"new10.png",191.14285714285714,385.71428571428567,213.42857142857142,405.71428571428567,"depth"
"new10.png",46.57142857142857,382.85714285714283,60.285714285714285,397.71428571428567,"sunk"
"new10.png",248.85714285714283,429.1428571428571,259.1428571428571,443.99999999999994,"sunk"
"new0.png",233.42857142857142,38.857142857142854,263.1428571428571,66.28571428571428,"sunk"
"new0.png",343.1428571428571,90.28571428571428,364.2857142857143,110.85714285714285,"sunk"
"new0.png",291.7142857142857,134.28571428571428,310.57142857142856,154.85714285714283,"flat"
"new0.png",420.85714285714283,227.42857142857142,467.71428571428567,275.42857142857144,"depth"
"new0.png",434,382.2857142857143,452.2857142857143,402.85714285714283,"depth"
"new0.png",332.85714285714283,430.85714285714283,363.71428571428567,463.4285714285714,"depth"
"new0.png",295.7142857142857,282.85714285714283,315.14285714285717,305.1428571428571,"flat"
"new0.png",345.4285714285714,380,360.85714285714283,394.2857142857143,"flat"
"new0.png",134.57142857142856,426.2857142857143,156.28571428571428,450.85714285714283,"flat"
"new0.png",56.285714285714285,387.4285714285714,66.57142857142857,401.71428571428567,"flat"
